name,grade,location,date,comment,video
Die kleine Klapsmühle,V,Flatzer Wand,2023-12,,
Der große Affenzirkus,V,Flatzer Wand,2023-11,,
Westwand,V,"Rax, Wachthüttelturm",2023-11,,
