name,grade,location,date,comment,video
Feed the Sweed,5.8,"Barnum Rock, Willow Canyon, Arizona",2025-02,,
Die kleine Klapsmühle,V,Flatzer Wand,2023-12,,
Der große Affenzirkus,V,Flatzer Wand,2023-11,,
Westwand,V,"Rax, Wachthüttelturm",2023-11,,
Pany,5c,Peñón de Ifach - Penyal d'Ifac - Cara Norte,2026-02-05,Onsight,
